,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords,,,,,,,,,,
10,Deep Learning-Based Traffic Safety Solution for a Mixture of Autonomous and Manual Vehicles in a 5G-Enabled Intelligent Transportation System,"Keping Yu , Long Lin , Mamoun Alazab , Liang Tan , Bo Gu ",IEEE Transactions on Intelligent Transportation Systems,1558-0016,22,7,,2021,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9303409,"It is expected that a mixture of autonomous and manual vehicles will persist as a part of the intelligent transportation system (ITS) for many decades. Thus, addressing the safety issues arising from this mix of autonomous and manual vehicles before autonomous vehicles are entirely popularized is crucial. As the ITS system has increased in complexity, autonomous vehicles exhibit problems such as a low intention recognition rate and poor real-time performance when predicting the driving direction; these problems seriously affect the safety and comfort of mixed traffic systems. Therefore, the ability of autonomous vehicles to predict the driving direction in real time according to the surrounding traffic environment must be improved and researchers must work to create a more mature ITS. In this paper, we propose a deep learning-based traffic safety solution for a mixture of autonomous and manual vehicles in a 5G-enabled ITS. In this scheme, a driving trajectory dataset and a natural-driving dataset are employed as the network inputs to long-term memory networks in the 5G-enabled ITS: the probability matrix of each intention is calculated by the softmax function. Then, the final intention probability is obtained by fusing the mean rule in the decision layer. Experimental results show that the proposed scheme achieves intention recognition rates of 91.58% and 90.88% for left and right lane changes, respectively, effectively improving both accuracy and real-time intention recognition and improving the lane change problem in a mixed traffic environment.",,10.1109/TITS.2020.3042504,"Vehicles , Hidden Markov models , Safety , Manuals , 5G mobile communication , Real-time systems , Autonomous vehicles ",,,,,,,,,,
11,5G MIMO Data for Machine Learning: Application to Beam-Selection Using Deep Learning,"Aldebaro Klautau , Pedro Batista , Nuria González-Prelcic , Yuyang Wang , Robert W. Heath ",2018 Information Theory and Applications Workshop (ITA),,,,,2018,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8503086,"The increasing complexity of configuring cellular networks suggests that machine learning (ML) can effectively improve 5G technologies. Deep learning has proven successful in ML tasks such as speech processing and computational vision, with a performance that scales with the amount of available data. The lack of large datasets inhibits the flourish of deep learning applications in wireless communications. This paper presents a methodology that combines a vehicle traffic simulator with a ray-tracing simulator, to generate channel realizations representing 5G scenarios with mobility of both transceivers and objects. The paper then describes a specific dataset for investigating beam-selection techniques on vehicle-to-infrastructure using millimeter waves. Experiments using deep learning in classification, regression and reinforcement learning problems illustrate the use of datasets generated with the proposed methodology.",,10.1109/ITA.2018.8503086,"5G mobile communication , MIMO communication , Ray tracing , Computational modeling , Receivers ",,,,,,,,,,
12,Artificial Intelligence-Enabled Cellular Networks: A Critical Path to Beyond-5G and 6G,"Rubayet Shafin , Lingjia Liu , Vikram Chandrasekhar , Hao Chen , Jeffrey Reed , Jianzhong Charlie Zhang ",IEEE Wireless Communications,1558-0687,27,2,,2020,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9040202,"Mobile network operators (MNOs) are in the process of overlaying their conventional macro cellular networks with shorter range cells such as outdoor pico cells. The resultant increase in network complexity creates substantial overhead in terms of operating expenses, time, and labor for their planning and management. Artificial intelligence (AI) offers the potential for MNOs to operate their networks in a more organic and cost-efficient manner. We argue that deploying AI in fifth generation (5G) and beyond will require surmounting significant technical barriers in terms of robustness, performance, and complexity. We outline future research directions, identify top five challenges, and present a possible roadmap to realize the vision of AI-enabled cellular networks for Beyond- 5G and sixth generation (6G) networks.",,10.1109/MWC.001.1900323,"Cellular networks , Receivers , Complexity theory , MIMO communication , 5G mobile communication , Deep learning ",,,,,,,,,,
13,From 4G to 5G: Self-organized network management meets machine learning,"J Moysen, L Giupponi",Computer Communications,0140-3664,129,,248-268,2018,Elsevier,https://www.sciencedirect.com/science/article/pii/S0140366418300380?casa_token=eLIUDmwIc_8AAAAA:4Kq1gZayOEcqQbMQQY_hhVj_Z61XK1juTqZSofmawf9QP4O5Ei6q9kgPojDqRkrprJoxgqyIrmU,"Self-organization as applied to cellular networks is usually referred to Selforganizing Networks (SONs), and it is a key driver for improving Operations,Administration, and Management (OAM) activities. SON aims at reducing the cost of installation and management of 4G and future 5G networks, by simplifying operational tasks through the capability to configure, optimize and heal itself. To satisfy 5G network management requirements, this autonomous management vision has to be extended to the end to end network. In literature and also in some instances of products available in the market, Machine Learning (ML) has been identified as the key tool to implement autonomous adaptability and take advantage of experience when making decisions. In this paper, we survey how 5G network management, with an end-to-end perspective of the network, can significantly benefit from ML solutions. We review and provide the basic concepts and taxonomy for SON, network management and ML. We analyze the available state of the art in the literature, standardization, and in the market. We pay special attention to 3rd Generation Partnership Project (3GPP) evolution in the area of network management and to the data that can be extracted from 3GPP networks, in order to gain knowledge and experience in how the network is working, and improve network performance in a proactive way. Finally, we go through the main challenges associated with this line of research, in both 4G and in what 5G is getting designed, while identifying new directions for research.",,10.1016/j.comcom.2018.07.015,"Network management, Self-organizing networks, Mobile networks, Machine learning, Big data",,,,,,,,,,
14,DeepCog: Cognitive Network Management in Sliced 5G Networks with Deep Learning,"Dario Bega , Marco Gramaglia , Marco Fiore , Albert Banchs , Xavier Costa-Perez ",IEEE INFOCOM 2019 - IEEE Conference on Computer Communications,0743-166X,,,,2019,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8737488,"Network slicing is a new paradigm for future 5G networks where the network infrastructure is divided into slices devoted to different services and customized to their needs. With this paradigm, it is essential to allocate to each slice the needed resources, which requires the ability to forecast their respective demands. To this end, we present DeepCog, a novel data analytics tool for the cognitive management of resources in 5G systems. DeepCog forecasts the capacity needed to accommodate future traffic demands within individual network slices while accounting for the operator's desired balance between resource overprovisioning (i.e., allocating resources exceeding the demand) and service request violations (i.e., allocating less resources than required). To achieve its objective, DeepCog hinges on a deep learning architecture that is explicitly designed for capacity forecasting. Comparative evaluations with real-world measurement data prove that DeepCog's tight integration of machine learning into resource orchestration allows for substantial (50% or above) reduction of operating expenses with respect to resource allocation solutions based on state-of-the-art mobile traffic predictors. Moreover, we leverage DeepCog to carry out an extensive first analysis of the trade-off between capacity overdimensioning and unserviced demands in adaptive, sliced networks and in presence of real-world traffic.",,10.1109/INFOCOM.2019.8737488,"Resource management , Deep learning , Base stations , Neural networks , Maximum likelihood detection , Nonlinear filters , 5G mobile communication ",,,,,,,,,,
15,Improving Traffic Forecasting for 5G Core Network Scalability: A Machine Learning Approach,"Imad Alawe , Adlen Ksentini , Yassine Hadjadj-Aoul , Philippe Bertin ",IEEE Network,1558-156X,32,6,,2018,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8553653,"5G is expected to provide network connectivity to not only classical devices (i.e., tablets, smartphones, etc.) but also to the IoT, which will drastically increase the traffic load carried over the network. 5G will mainly rely on NFV and SDN to build flexible and on-demand instances of functional networking entities via VNFs. Indeed, 3GPP is devising a new architecture for the core network, which replaces point-to-point interfaces used in 3G and 4G by producer/consumer-based communication among 5G core network functions, facilitating deployment over a virtual infrastructure. One big advantage of using VNFs is the possibility of dynamic scaling, depending on traffic load (i.e., instantiate new resources to VNFs when the traffic load increases and reduce the number of resources when the traffic load decreases). In this article, we propose a novel mechanism to scale 5G core network resources by anticipating traffic load changes through forecasting via ML techniques. The traffic load forecast is achieved by using and training a neural network on a real dataset of traffic arrival in a mobile network. Two techniques were used and compared: RNN, more specifically LSTM; and DNN. Simulation results show that the forecast-based scalability mechanism outperforms the threshold-based solutions, in terms of latency to react to traffic change, and delay to have new resources ready to be used by the VNF to react to traffic increase.",,10.1109/MNET.2018.1800104,"5G mobile communication , Scalability , 3GPP , Telecommunication traffic , Cloud computing , Networked control systems , Delays , Traffic control , Load management , Software defined networking , Smart devices , Dynamic scheduling ",,,,,,,,,,
16,A Tutorial on Ultrareliable and Low-Latency Communications in 6G: Integrating Domain Knowledge Into Deep Learning,"Changyang She , Chengjian Sun , Zhouyou Gu , Yonghui Li , Chenyang Yang , H. Vincent Poor , Branka Vucetic ",Proceedings of the IEEE,1558-2256,109,3,,2021,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9369424,"As one of the key communication scenarios in the fifth-generation and also the sixth-generation (6G) mobile communication networks, ultrareliable and low-latency communications (URLLCs) will be central for the development of various emerging mission-critical applications. State-of-the-art mobile communication systems do not fulfill the end-to-end delay and overall reliability requirements of URLLCs. In particular, a holistic framework that takes into account latency, reliability, availability, scalability, and decision-making under uncertainty is lacking. Driven by recent breakthroughs in deep neural networks, deep learning algorithms have been considered as promising ways of developing enabling technologies for URLLCs in future 6G networks. This tutorial illustrates how domain knowledge (models, analytical tools, and optimization frameworks) of communications and networking can be integrated into different kinds of deep learning algorithms for URLLCs. We first provide some background of URLLCs and review promising network architectures and deep learning frameworks for 6G. To better illustrate how to improve learning algorithms with domain knowledge, we revisit model-based analytical tools and cross-layer optimization frameworks for URLLCs. Following this, we examine the potential of applying supervised/unsupervised deep learning and deep reinforcement learning in URLLCs and summarize related open problems. Finally, we provide simulation and experimental results to validate the effectiveness of different learning algorithms and discuss future directions.",,10.1109/JPROC.2021.3053601,"Deep learning , 6G mobile communication , Knowledge engineering , Ultra reliable low latency communication , Reliability , Network architecture , Optimization , Reinforcement learning , Low latency communication , Unsupervised learning ",,,,,,,,,,
17,Deep Learning for Hybrid 5G Services in Mobile Edge Computing Systems: Learn From a Digital Twin,"Rui Dong , Changyang She , Wibowo Hardjawana , Yonghui Li , Branka Vucetic ",IEEE Transactions on Wireless Communications,1558-2248,18,10,,2019,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8764584,"In this paper, we consider a mobile edge computing system with both ultra-reliable and low-latency communications services and delay tolerant services. We aim to minimize the normalized energy consumption, defined as the energy consumption per bit, by optimizing user association, resource allocation, and offloading probabilities subject to the quality-of-service requirements. The user association is managed by the mobility management entity (MME), while resource allocation and offloading probabilities are determined by each access point (AP). We propose a deep learning (DL) architecture, where a digital twin of the real network environment is used to train the DL algorithm off-line at a central server. From the pre-trained deep neural network (DNN), the MME can obtain user association scheme in a real-time manner. Considering that the real networks are not static, the digital twin monitors the variation of real networks and updates the DNN accordingly. For a given user association scheme, we propose an optimization algorithm to find the optimal resource allocation and offloading probabilities at each AP. The simulation results show that our method can achieve lower normalized energy consumption with less computation complexity compared with an existing method and approach to the performance of the global optimal solution.",,10.1109/TWC.2019.2927312,"Delays , Servers , Resource management , Energy consumption , Task analysis , Reliability , Machine learning algorithms ",,,,,,,,,,
18,A Deep-Learning-Based Radio Resource Assignment Technique for 5G Ultra Dense Networks,"Yibo Zhou , Zubair Md. Fadlullah , Bomin Mao , Nei Kato ",IEEE Network,1558-156X,32,6,,2018,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8553651,"Recently, deep learning has emerged as a state-of-the-art machine learning technique with promising potential to drive significant breakthroughs in a wide range of research areas. The application of deep learning for network traffic control, however, remains immature due to the difficulty in uniquely characterizing the network traffic features as an appropriate input and output dataset to the learning structures. The network traffic features are anticipated to be even more dynamic and complex in the UDNs of the emerging 5G networks with high traffic demands coupled with beamforming and massive MIMO technologies. Therefore, it is critical for 5G network operators to carry out radio resource control in an efficient manner instead of adopting the simple conventional F/TDD. This is because the conventional uplink-downlink configuration change in the existing dynamic TDD method, typically used for resource assignment in beamforming and massive-MIMO-based UDNs, is prone to repeated congestion. In this article, we address this issue and discuss how to leverage the deep LSTM learning technique to make localized prediction of the traffic load at the UDN base station (i.e., the eNB). Based on localized prediction, our proposed algorithm executes the appropriate action policy a priori to avoid/alleviate the congestion in an intelligent fashion. Simulation results demonstrate that our proposal outperforms the conventional method in terms of packet loss rate, throughput, and MOS.",,10.1109/MNET.2018.1800085,"5G mobile communication , Array signal processing , MIMO communication , Telecommunication traffic , Dynamic scheduling , Traffic control , Networked traffic control , Predictive models , Deep learning ",,,,,,,,,,
19,Artificial Intelligence Enabled Wireless Networking for 5G and Beyond: Recent Advances and Future Challenges,"Cheng-Xiang Wang , Marco Di Renzo , Slawomir Stanczak , Sen Wang , Erik G. Larsson ",IEEE Wireless Communications,1558-0687,27,1,,2020,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9023918,"5G wireless communication networks are currently being deployed, and B5G networks are expected to be developed over the next decade. AI technologies and, in particular, ML have the potential to efficiently solve the unstructured and seemingly intractable problems by involving large amounts of data that need to be dealt with in B5G. This article studies how AI and ML can be leveraged for the design and operation of B5G networks. We first provide a comprehensive survey of recent advances and future challenges that result from bringing AI/ML technologies into B5G wireless networks. Our survey touches on different aspects of wireless network design and optimization, including channel measurements, modeling, and estimation, physical layer research, and network management and optimization. Then ML algorithms and applications to B5G networks are reviewed, followed by an overview of standard developments of applying AI/ML algorithms to B5G networks. We conclude this study with future challenges on applying AI/ML to B5G networks.",,10.1109/MWC.001.1900292,"Artificial intelligence , Channel estimation , Massive MIMO , 5G mobile communication , Loss measurement , Wireless networks ",,,,,,,,,,
20,"Machine Learning for 6G Wireless Networks: Carrying Forward Enhanced Bandwidth, Massive Access, and Ultrareliable/Low-Latency Service","Jun Du , Chunxiao Jiang , Jian Wang , Yong Ren , Merouane Debbah ",IEEE Vehicular Technology Magazine,1556-6080,15,4,,2020,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9206115,"To satisfy the expected plethora of demanding services, the future generation of wireless networks (6G) has been mandated as a revolutionary paradigm to carry forward the capacities of enhanced broadband, massive access, and ultrareliable and lowlatency service in 5G wireless networks to a more powerful and intelligent level. Recently, the structure of 6G networks has tended to be extremely heterogeneous, densely deployed, and dynamic. Combined with tight quality of service (QoS), such complex architecture will result in the untenability of legacy network operation routines. In response, artificial intelligence (AI), especially machine learning (ML), is emerging as a fundamental solution to realize fully intelligent network orchestration and management. By learning from uncertain and dynamic environments, AI-/ML-enabled channel estimation and spectrum management will open up opportunities for bringing the excellent performance of ultrabroadband techniques, such as terahertz communications, into full play. Additionally, challenges brought by ultramassive access with respect to energy and security can be mitigated by applying AI-/ML-based approaches. Moreover, intelligent mobility management and resource allocation will guarantee the ultrareliability and low latency of services. Concerning these issues, this article introduces and surveys some state-of-the-art techniques based on AI/ML and their applications in 6G to support ultrabroadband, ultramassive access, and ultrareliable and lowlatency services.",,10.1109/MVT.2020.3019650,"6G mobile communication , 5G mobile communication , Artificial intelligence , Channel estimation , Radio spectrum management , Neural networks ",,,,,,,,,,
