,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
10,Deep learning-based traffic safety solution for a mixture of autonomous and manual vehicles in a 5G-enabled intelligent transportation system,"K Yu, L Lin, M Alazab, L Tan, ...",IEEE Transactions on Intelligent Transportation Systems,1558-0016,22,7,,2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9303409/?casa_token=G-h_oXhYXesAAAAA:2jPkdMweQzEUlUw6gV3iyU-VHTGjQRU_uk6eMnkViySiKbZCXsOqlKtg1xuGdfcCfRLAorONjH8UWw,"It is expected that a mixture of autonomous and manual vehicles will persist as a part of the intelligent transportation system (ITS) for many decades. Thus, addressing the safety issues arising from this mix of autonomous and manual vehicles before autonomous vehicles are entirely popularized is crucial. As the ITS system has increased in complexity, autonomous vehicles exhibit problems such as a low intention recognition rate and poor real-time performance when predicting the driving direction; these problems seriously affect the safety and comfort of mixed traffic systems. Therefore, the ability of autonomous vehicles to predict the driving direction in real time according to the surrounding traffic environment must be improved and researchers must work to create a more mature ITS. In this paper, we propose a deep learning-based traffic safety solution for a mixture of autonomous and manual vehicles in a 5G-enabled ITS. In this scheme, a driving trajectory dataset and a natural-driving dataset are employed as the network inputs to long-term memory networks in the 5G-enabled ITS: the probability matrix of each intention is calculated by the softmax function. Then, the final intention probability is obtained by fusing the mean rule in the decision layer. Experimental results show that the proposed scheme achieves intention recognition rates of 91.58% and 90.88% for left and right lane changes, respectively, effectively improving both accuracy and real-time intention recognition and improving the lane change problem in a mixed traffic environment.",,10.1109/TITS.2020.3042504,"Vehicles , Hidden Markov models , Safety , Manuals , 5G mobile communication , Real-time systems , Autonomous vehicles "
11,5G MIMO data for machine learning: Application to beam-selection using deep learning,"A Klautau, P Batista, N González-Prelcic, ...",2018 Information Theory and Applications Workshop (ITA),,,,,2018,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8503086/?casa_token=npOIjlauiYUAAAAA:JMYmoVRxM30JN_h59H7TeR9_rzYiyQ40abn6KbE0FMVD26KpcMRKyKJ3kExGezGMEkcsnaLZzVLOSQ,"The increasing complexity of configuring cellular networks suggests that machine learning (ML) can effectively improve 5G technologies. Deep learning has proven successful in ML tasks such as speech processing and computational vision, with a performance that scales with the amount of available data. The lack of large datasets inhibits the flourish of deep learning applications in wireless communications. This paper presents a methodology that combines a vehicle traffic simulator with a ray-tracing simulator, to generate channel realizations representing 5G scenarios with mobility of both transceivers and objects. The paper then describes a specific dataset for investigating beam-selection techniques on vehicle-to-infrastructure using millimeter waves. Experiments using deep learning in classification, regression and reinforcement learning problems illustrate the use of datasets generated with the proposed methodology.",,10.1109/ITA.2018.8503086,"5G mobile communication , MIMO communication , Ray tracing , Computational modeling , Receivers "
12,Artificial intelligence-enabled cellular networks: A critical path to beyond-5G and 6G,"R Shafin, L Liu, V Chandrasekhar, ...",IEEE Wireless Communications,1558-0687,27,2,,2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9040202/?casa_token=vzgn6PWStnoAAAAA:s9akQM_O-a5ddxKAsJbxUKuiKU8SrOBgc_xQANBAije4ElrfaLh-VAneV8D3UkkWk2s6YWOOqSKyYg,"Mobile network operators (MNOs) are in the process of overlaying their conventional macro cellular networks with shorter range cells such as outdoor pico cells. The resultant increase in network complexity creates substantial overhead in terms of operating expenses, time, and labor for their planning and management. Artificial intelligence (AI) offers the potential for MNOs to operate their networks in a more organic and cost-efficient manner. We argue that deploying AI in fifth generation (5G) and beyond will require surmounting significant technical barriers in terms of robustness, performance, and complexity. We outline future research directions, identify top five challenges, and present a possible roadmap to realize the vision of AI-enabled cellular networks for Beyond- 5G and sixth generation (6G) networks.",,10.1109/MWC.001.1900323,"Cellular networks , Receivers , Complexity theory , MIMO communication , 5G mobile communication , Deep learning "
13,From 4G to 5G: Self-organized network management meets machine learning,"J Moysen, L Giupponi",Computer Communications,,,,,2018,Elsevier,https://www.sciencedirect.com/science/article/pii/S0140366418300380?casa_token=eLIUDmwIc_8AAAAA:4Kq1gZayOEcqQbMQQY_hhVj_Z61XK1juTqZSofmawf9QP4O5Ei6q9kgPojDqRkrprJoxgqyIrmU,"… We believe that Machine Learning (ML) can be effectively used to allow the network to learn … SON for 5G networks, and on how ML will be the driving tool for autonomous end-to-end 5G …",,,
14,DeepCog: Cognitive network management in sliced 5G networks with deep learning,"D Bega, M Gramaglia, M Fiore, ...",IEEE INFOCOM 2019 - IEEE Conference on Computer Communications,0743-166X,,,,2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8737488/?casa_token=8EesdBqHC58AAAAA:kIbITlsxZ5rsMU1xXxECI3D2XEFNacsTGhnbPjNZzabq2lc5JmKBRzNL21pM8Jvw1UPdoyCkTyKZGQ,"Network slicing is a new paradigm for future 5G networks where the network infrastructure is divided into slices devoted to different services and customized to their needs. With this paradigm, it is essential to allocate to each slice the needed resources, which requires the ability to forecast their respective demands. To this end, we present DeepCog, a novel data analytics tool for the cognitive management of resources in 5G systems. DeepCog forecasts the capacity needed to accommodate future traffic demands within individual network slices while accounting for the operator's desired balance between resource overprovisioning (i.e., allocating resources exceeding the demand) and service request violations (i.e., allocating less resources than required). To achieve its objective, DeepCog hinges on a deep learning architecture that is explicitly designed for capacity forecasting. Comparative evaluations with real-world measurement data prove that DeepCog's tight integration of machine learning into resource orchestration allows for substantial (50% or above) reduction of operating expenses with respect to resource allocation solutions based on state-of-the-art mobile traffic predictors. Moreover, we leverage DeepCog to carry out an extensive first analysis of the trade-off between capacity overdimensioning and unserviced demands in adaptive, sliced networks and in presence of real-world traffic.",,10.1109/INFOCOM.2019.8737488,"Resource management , Deep learning , Base stations , Neural networks , Maximum likelihood detection , Nonlinear filters , 5G mobile communication "
15,Improving traffic forecasting for 5G core network scalability: A machine learning approach,"I Alawe, A Ksentini, Y Hadjadj-Aoul, P Bertin",IEEE Network,1558-156X,32,6,,2018,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8553653/?casa_token=_IBrM-ofS4AAAAAA:brGpLHa3UigcrIP87eQaCStpGiS_dZ17FoW6E41QZniUZN-FA9bj5yx-zzwuNWKuapgTt_XUJdbGbQ,"5G is expected to provide network connectivity to not only classical devices (i.e., tablets, smartphones, etc.) but also to the IoT, which will drastically increase the traffic load carried over the network. 5G will mainly rely on NFV and SDN to build flexible and on-demand instances of functional networking entities via VNFs. Indeed, 3GPP is devising a new architecture for the core network, which replaces point-to-point interfaces used in 3G and 4G by producer/consumer-based communication among 5G core network functions, facilitating deployment over a virtual infrastructure. One big advantage of using VNFs is the possibility of dynamic scaling, depending on traffic load (i.e., instantiate new resources to VNFs when the traffic load increases and reduce the number of resources when the traffic load decreases). In this article, we propose a novel mechanism to scale 5G core network resources by anticipating traffic load changes through forecasting via ML techniques. The traffic load forecast is achieved by using and training a neural network on a real dataset of traffic arrival in a mobile network. Two techniques were used and compared: RNN, more specifically LSTM; and DNN. Simulation results show that the forecast-based scalability mechanism outperforms the threshold-based solutions, in terms of latency to react to traffic change, and delay to have new resources ready to be used by the VNF to react to traffic increase.",,10.1109/MNET.2018.1800104,"5G mobile communication , Scalability , 3GPP , Telecommunication traffic , Cloud computing , Networked control systems , Delays , Traffic control , Load management , Software defined networking , Smart devices , Dynamic scheduling "
16,A tutorial on ultrareliable and low-latency communications in 6G: Integrating domain knowledge into deep learning,"C She, C Sun, Z Gu, Y Li, C Yang, ...",Proceedings of the IEEE,1558-2256,109,3,,2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9369424/?casa_token=l1tIltFNmOMAAAAA:wXl6QQhO3yOInBX22kzHavAAiNFEdeP3RRFOuHDZxcDfBDVfKz0zeQmaEg59239cYYbgNwQkIk1HWQ,"As one of the key communication scenarios in the fifth-generation and also the sixth-generation (6G) mobile communication networks, ultrareliable and low-latency communications (URLLCs) will be central for the development of various emerging mission-critical applications. State-of-the-art mobile communication systems do not fulfill the end-to-end delay and overall reliability requirements of URLLCs. In particular, a holistic framework that takes into account latency, reliability, availability, scalability, and decision-making under uncertainty is lacking. Driven by recent breakthroughs in deep neural networks, deep learning algorithms have been considered as promising ways of developing enabling technologies for URLLCs in future 6G networks. This tutorial illustrates how domain knowledge (models, analytical tools, and optimization frameworks) of communications and networking can be integrated into different kinds of deep learning algorithms for URLLCs. We first provide some background of URLLCs and review promising network architectures and deep learning frameworks for 6G. To better illustrate how to improve learning algorithms with domain knowledge, we revisit model-based analytical tools and cross-layer optimization frameworks for URLLCs. Following this, we examine the potential of applying supervised/unsupervised deep learning and deep reinforcement learning in URLLCs and summarize related open problems. Finally, we provide simulation and experimental results to validate the effectiveness of different learning algorithms and discuss future directions.",,10.1109/JPROC.2021.3053601,"Deep learning , 6G mobile communication , Knowledge engineering , Ultra reliable low latency communication , Reliability , Network architecture , Optimization , Reinforcement learning , Low latency communication , Unsupervised learning "
17,Deep learning for hybrid 5G services in mobile edge computing systems: Learn from a digital twin,"R Dong, C She, W Hardjawana, Y Li, ...",IEEE Transactions on Wireless Communications,1558-2248,18,10,,2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8764584/?casa_token=Z7KMWLTojv8AAAAA:7PMsC8NAkl1-uq8QP3NaC6QQhdaDd7Bewz6YzA4rH9UmIgQR0xtoDnhrYL_sW3lcXerN2NJPpWBztw,"In this paper, we consider a mobile edge computing system with both ultra-reliable and low-latency communications services and delay tolerant services. We aim to minimize the normalized energy consumption, defined as the energy consumption per bit, by optimizing user association, resource allocation, and offloading probabilities subject to the quality-of-service requirements. The user association is managed by the mobility management entity (MME), while resource allocation and offloading probabilities are determined by each access point (AP). We propose a deep learning (DL) architecture, where a digital twin of the real network environment is used to train the DL algorithm off-line at a central server. From the pre-trained deep neural network (DNN), the MME can obtain user association scheme in a real-time manner. Considering that the real networks are not static, the digital twin monitors the variation of real networks and updates the DNN accordingly. For a given user association scheme, we propose an optimization algorithm to find the optimal resource allocation and offloading probabilities at each AP. The simulation results show that our method can achieve lower normalized energy consumption with less computation complexity compared with an existing method and approach to the performance of the global optimal solution.",,10.1109/TWC.2019.2927312,"Delays , Servers , Resource management , Energy consumption , Task analysis , Reliability , Machine learning algorithms "
18,A deep-learning-based radio resource assignment technique for 5G ultra dense networks,"Y Zhou, ZM Fadlullah, B Mao, N Kato",IEEE Network,1558-156X,32,6,,2018,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8553651/?casa_token=oUV9U2B2VUYAAAAA:BrB2jjybAK7wJWK1Vkge4-3_nFIhy8QcaXfHxS7o7SquoRglnPASPOTQNlDSdcx6YbbcN0lEXr1ELQ,"Recently, deep learning has emerged as a state-of-the-art machine learning technique with promising potential to drive significant breakthroughs in a wide range of research areas. The application of deep learning for network traffic control, however, remains immature due to the difficulty in uniquely characterizing the network traffic features as an appropriate input and output dataset to the learning structures. The network traffic features are anticipated to be even more dynamic and complex in the UDNs of the emerging 5G networks with high traffic demands coupled with beamforming and massive MIMO technologies. Therefore, it is critical for 5G network operators to carry out radio resource control in an efficient manner instead of adopting the simple conventional F/TDD. This is because the conventional uplink-downlink configuration change in the existing dynamic TDD method, typically used for resource assignment in beamforming and massive-MIMO-based UDNs, is prone to repeated congestion. In this article, we address this issue and discuss how to leverage the deep LSTM learning technique to make localized prediction of the traffic load at the UDN base station (i.e., the eNB). Based on localized prediction, our proposed algorithm executes the appropriate action policy a priori to avoid/alleviate the congestion in an intelligent fashion. Simulation results demonstrate that our proposal outperforms the conventional method in terms of packet loss rate, throughput, and MOS.",,10.1109/MNET.2018.1800085,"5G mobile communication , Array signal processing , MIMO communication , Telecommunication traffic , Dynamic scheduling , Traffic control , Networked traffic control , Predictive models , Deep learning "
19,Artificial intelligence enabled wireless networking for 5G and beyond: Recent advances and future challenges,"CX Wang, M Di Renzo, S Stanczak, ...",IEEE Wireless Communications,1558-0687,27,1,,2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9023918/?casa_token=glX9Kt4nhdEAAAAA:BndMPpaYYfPhJCr4hiEdR6IRKAJANfQL6BHGpT3LDBAiCjmXbLfxRYfirBE1L0ywj8lbqgErQeOC4A,"5G wireless communication networks are currently being deployed, and B5G networks are expected to be developed over the next decade. AI technologies and, in particular, ML have the potential to efficiently solve the unstructured and seemingly intractable problems by involving large amounts of data that need to be dealt with in B5G. This article studies how AI and ML can be leveraged for the design and operation of B5G networks. We first provide a comprehensive survey of recent advances and future challenges that result from bringing AI/ML technologies into B5G wireless networks. Our survey touches on different aspects of wireless network design and optimization, including channel measurements, modeling, and estimation, physical layer research, and network management and optimization. Then ML algorithms and applications to B5G networks are reviewed, followed by an overview of standard developments of applying AI/ML algorithms to B5G networks. We conclude this study with future challenges on applying AI/ML to B5G networks.",,10.1109/MWC.001.1900292,"Artificial intelligence , Channel estimation , Massive MIMO , 5G mobile communication , Loss measurement , Wireless networks "
